Reading training examples...done
Iter 238: +++++++++:*(NumConst=121, SV=51, CEps=2.6136, QPEps=0.5954)
Iter 239: +++++++++:*(NumConst=120, SV=50, CEps=1.6603, QPEps=0.5312)
Iter 240: +++++++++.........:*(NumConst=121, SV=52, CEps=17.8415, QPEps=5.4670)
Iter 241: +++++++++.........:*(NumConst=122, SV=54, CEps=10.4976, QPEps=3.6672)
Iter 242: +++++++++:*(NumConst=121, SV=56, CEps=1.3125, QPEps=0.4976)
Iter 243: +++++++++:*(NumConst=122, SV=54, CEps=1.9312, QPEps=0.6338)
Iter 244: +++++++++:*(NumConst=122, SV=50, CEps=1.4741, QPEps=0.4941)
Iter 245: +++++++++:*(NumConst=123, SV=52, CEps=1.3459, QPEps=0.6072)
Iter 246: +++++++++.........:*(NumConst=123, SV=53, CEps=44.3918, QPEps=4.9042)
Iter 247: +++++++++.........:*(NumConst=122, SV=55, CEps=21.2111, QPEps=0.8489)
Iter 248: +++++++++:*(NumConst=123, SV=54, CEps=2.4148, QPEps=1.2071)
Iter 249: +++++++++:*(NumConst=121, SV=54, CEps=2.2518, QPEps=1.0152)
Iter 250: +++++++++:*(NumConst=121, SV=53, CEps=1.4059, QPEps=0.5039)
Iter 251: +++++++++:*(NumConst=122, SV=50, CEps=1.6619, QPEps=0.3064)
Iter 252: +++++++++.........:*(NumConst=122, SV=51, CEps=21.8728, QPEps=2.2316)
Iter 253: +++++++++:*(NumConst=121, SV=52, CEps=1.2332, QPEps=0.5867)
Iter 254: +++++++++.........:*(NumConst=121, SV=49, CEps=16.5992, QPEps=3.9509)
Iter 255: +++++++++:*(NumConst=121, SV=46, CEps=1.5693, QPEps=0.5928)
Iter 256: +++++++++.........:*(NumConst=122, SV=47, CEps=14.2062, QPEps=2.9516)
Iter 257: +++++++++:*(NumConst=122, SV=49, CEps=1.1715, QPEps=0.5045)
Iter 258: +++++++++:*(NumConst=123, SV=50, CEps=1.4771, QPEps=0.4789)
Iter 259: +++++++++:*(NumConst=122, SV=49, CEps=1.2900, QPEps=0.3658)
Iter 260: +++++++++:*(NumConst=123, SV=50, CEps=1.3283, QPEps=0.3384)
Iter 261: +++++++++.........:*(NumConst=120, SV=50, CEps=13.6439, QPEps=2.3250)
Iter 262: +++++++++:*(NumConst=119, SV=53, CEps=1.6815, QPEps=0.7117)
Iter 263: +++++++++:*(NumConst=120, SV=52, CEps=1.0575, QPEps=0.4568)
Iter 264: +++++++++.........:*(NumConst=121, SV=55, CEps=16.8078, QPEps=4.9784)
Iter 265: +++++++++.........:*(NumConst=121, SV=54, CEps=11.2431, QPEps=3.9638)
Iter 266: +++++++++:*(NumConst=122, SV=49, CEps=1.5361, QPEps=0.6586)
Iter 267: +++++++++.........:*(NumConst=123, SV=50, CEps=13.2534, QPEps=5.1738)
Iter 268: +++++++++:*(NumConst=124, SV=55, CEps=1.4400, QPEps=0.6278)
Iter 269: +++++++++:*(NumConst=122, SV=56, CEps=2.3560, QPEps=0.6117)
Iter 270: +++++++++:*(NumConst=122, SV=55, CEps=1.6037, QPEps=0.6441)
Iter 271: +++++++++.........:*(NumConst=122, SV=55, CEps=13.4593, QPEps=3.1861)
Iter 272: +++++++++.........:*(NumConst=120, SV=55, CEps=10.7851, QPEps=5.0280)
Iter 273: +++++++++.........:*(NumConst=120, SV=58, CEps=8.7703, QPEps=3.6129)
Iter 274: +++++++++:*(NumConst=121, SV=55, CEps=1.4057, QPEps=0.6306)
Iter 275: +++++++++:*(NumConst=120, SV=55, CEps=2.2609, QPEps=0.6594)
Iter 276: +++++++++:*(NumConst=120, SV=57, CEps=2.1190, QPEps=0.6892)
Iter 277: +++++++++:*(NumConst=119, SV=60, CEps=1.0588, QPEps=0.5091)
Iter 278: +++++++++:*(NumConst=120, SV=55, CEps=1.6811, QPEps=0.4176)
Iter 279: +++++++++.........:*(NumConst=121, SV=56, CEps=46.5828, QPEps=3.4889)
Iter 280: +++++++++:*(NumConst=119, SV=54, CEps=0.9758, QPEps=0.4706)
Iter 281: +++++++++.........:*(NumConst=119, SV=54, CEps=22.6171, QPEps=4.1543)
Iter 282: +++++++++.........:*(NumConst=118, SV=57, CEps=14.9967, QPEps=3.0139)
Iter 283: +++++++++:*(NumConst=119, SV=57, CEps=1.2515, QPEps=0.5222)
Iter 284: +++++++++:*(NumConst=120, SV=55, CEps=1.7252, QPEps=0.3219)
Iter 285: +++++++++:*(NumConst=120, SV=55, CEps=1.1670, QPEps=0.5593)
Iter 286: +++++++++:*(NumConst=120, SV=55, CEps=0.8882, QPEps=0.4335)
Iter 287: +++++++++.........:*(NumConst=119, SV=54, CEps=16.6329, QPEps=2.3664)
Iter 288: +++++++++:*(NumConst=120, SV=55, CEps=2.1096, QPEps=0.6732)
Iter 289: +++++++++.........:*(NumConst=121, SV=58, CEps=12.2599, QPEps=2.8938)
Iter 290: +++++++++:*(NumConst=122, SV=59, CEps=1.1236, QPEps=0.4245)
Iter 291: +++++++++:*(NumConst=123, SV=57, CEps=1.3913, QPEps=0.4622)
Iter 292: +++++++++:*(NumConst=122, SV=55, CEps=1.4274, QPEps=0.2909)
Iter 293: +++++++++:*(NumConst=122, SV=55, CEps=1.1321, QPEps=0.5563)
Iter 294: +++++++++:*(NumConst=123, SV=57, CEps=0.9835, QPEps=0.4776)
Iter 295: +++++++++.........:*(NumConst=124, SV=58, CEps=15.9172, QPEps=1.9243)
Iter 296: +++++++++:*(NumConst=125, SV=54, CEps=1.4120, QPEps=0.6444)
Iter 297: +++++++++:*(NumConst=126, SV=58, CEps=1.0484, QPEps=0.3244)
Iter 298: +++++++++:*(NumConst=126, SV=55, CEps=1.1424, QPEps=0.3719)
Iter 299: +++++++++.........:*(NumConst=127, SV=56, CEps=13.1563, QPEps=3.4242)
